# Evolutionary track for a 1.0877 Msun sequence with He atmosphere.
# log Teff [K], log L/Lsun, log g [cm/s^2], log radius [Rsun], mass [Msun], cooling age [Gyr], total age [Gyr]
5.625369674155342,3.8124866578392957,8.116873467773653,-1.8212371829384102,1.087701552681851,0.0,0.023245978553198682
5.623685170213026,3.7825488749122194,8.140073234931464,-1.8328370665173155,1.087701552681851,2.017344608269632e-07,0.023246180287659506
5.621868340541357,3.7500332251858026,8.165321565971206,-1.845461232037187,1.087701552681851,4.4381581382080914e-07,0.0232464223690125
5.619429061439502,3.7125751936445495,8.193022481105038,-1.8593116896041029,1.087701552681851,7.34313437409699e-07,0.02324671286663609
5.616078633430592,3.6690648430345534,8.223131119679397,-1.8743660088912824,1.087701552681851,1.0829105857200921e-06,0.0232470614637844
5.611560388748152,3.6187434957078954,8.255379488276292,-1.8904901931897298,1.087701552681851,1.501227163694799e-06,0.023247479780362373
5.605626912453925,3.561058377641319,8.28933070116596,-1.9074657996345643,1.087701552681851,2.0032070572599767e-06,0.02324798176025594
5.59805092453367,3.495667981609586,8.324417145516673,-1.9250090218099203,1.087701552681851,2.6055829295404255e-06,0.02324858413612822
5.588679932538176,3.422754735952337,8.35984642319195,-1.942723660647559,1.087701552681851,3.3252135279253123e-06,0.023249303766726605
5.577527043150709,3.3434438780915414,8.394545723502873,-1.9600733108030204,1.087701552681851,4.173196846023202e-06,0.023250151750044704
5.566004895870559,3.2675475498671345,8.424353462606678,-1.9749771803549225,1.087701552681851,5.0500920946337285e-06,0.023251028645293315
5.555390063707737,3.201587456379712,8.447854227442816,-1.9867275627729915,1.087701552681851,5.866823620449752e-06,0.02325184537681913
5.550143198196465,3.1703341860899474,8.458120035687495,-1.991860466895331,1.087701552681851,6.262104557104409e-06,0.023252240657755784
5.549900118062114,3.1689122899953426,8.458569611244693,-1.99208525467393,1.087701552681851,6.279892199255526e-06,0.023252258445397935
5.549654120862869,3.1674840199150895,8.45901389252797,-1.9923073953155683,1.087701552681851,6.2976798414066435e-06,0.023252276233040086
5.549541085531152,3.166804367400546,8.459241403715643,-1.9924211509094052,1.087701552681851,6.306573662482202e-06,0.02325228512686116
5.549416972829112,3.166084044953031,8.459465275354999,-1.9925330867290834,1.087701552681851,6.315467483554036e-06,0.023252294020682233
5.549295815637472,3.1653763721022643,8.459688319439204,-1.9926446087711855,1.087701552681851,6.324361304629594e-06,0.02325230291450331
5.549151199924336,3.1645303530516147,8.45995587563731,-1.9927783868702382,1.087701552681851,6.335033889915794e-06,0.023252313587088597
5.548977549435247,3.1635160192189153,8.460275607513655,-1.992938252808411,1.087701552681851,6.34784099226445e-06,0.023252326394190944
5.548769654126684,3.16230142120065,8.460658624297668,-1.9931297612004177,1.087701552681851,6.363209515083581e-06,0.023252341762713763
5.54852036512469,3.160846371144226,8.461116518346117,-1.993358708224642,1.087701552681851,6.381651742462069e-06,0.023252360204941144
5.548221988697015,3.1591050414736284,8.46166434230601,-1.9936326202045889,1.087701552681851,6.403782415319234e-06,0.023252382335614
5.547864380172712,3.157020707644191,8.462318242038235,-1.9939595700707007,1.087701552681851,6.430339222747833e-06,0.023252408892421427
5.547436482357947,3.154528494329879,8.463098864093489,-1.9943498810983278,1.087701552681851,6.46220739166066e-06,0.02325244076059034
5.546924249378728,3.1515495351339915,8.4640288913725,-1.9948148947378332,1.087701552681851,6.500449194353074e-06,0.023252479002393033
5.546311824255211,3.1479927075543195,8.465136018458107,-1.995368458280637,1.087701552681851,6.54633935758844e-06,0.02325252489255627
5.545579922466255,3.143749680533867,8.466451438322734,-1.996026168212951,1.087701552681851,6.601407553471625e-06,0.02325257996075215
5.544706395326822,3.138695080320918,8.468011929977948,-1.996806414040558,1.087701552681851,6.667489388529211e-06,0.02325264604258721
5.543664634989699,3.13268139409376,8.469858574856614,-1.9977297364798907,1.087701552681851,6.74678759060055e-06,0.02325272534078928
5.543040285814994,3.1290874449817276,8.47095512726983,-1.9982780126864985,1.087701552681851,6.7943665118403734e-06,0.02325277291971052
5.542294401590566,3.1248011487772724,8.472257886576573,-1.9989293923398699,1.087701552681851,6.851461217328906e-06,0.02325283001441601
5.541404254882973,3.119695498560937,8.473802949962536,-1.999701924032852,1.087701552681851,6.91997486392036e-06,0.0232528985280626
5.5403429942657505,3.1136222262179802,8.4756311798366,-2.0006160389698837,1.087701552681851,7.002191239826381e-06,0.023252980744438507
5.539079359922077,3.1064099813135813,8.477788887366307,-2.0016948927347373,1.087701552681851,7.100850890912115e-06,0.02325307940408959
5.538322289645634,3.102103097241367,8.479067490332746,-2.002334194217956,1.087701552681851,7.1600466815680265e-06,0.02325313859988025
5.537418914605181,3.096973231488818,8.480583855923483,-2.003092377013325,1.087701552681851,7.231081630352885e-06,0.023253209634829033
5.53634195004628,3.0908711889724945,8.482378040204205,-2.0039894691536864,1.087701552681851,7.316323568891734e-06,0.023253294876767572
5.535059688642468,3.083624664033683,8.484495519527771,-2.005048208815469,1.087701552681851,7.4186138951405885e-06,0.02325339716709382
5.533534980499479,3.0750347778892047,8.48698657310029,-2.006293735601729,1.087701552681851,7.541362286638468e-06,0.02325351991548532
5.5317249210525254,3.0648744742580307,8.489906638943651,-2.007753768523409,1.087701552681851,7.688660356435925e-06,0.023253667213555117
5.531180084340493,3.0618299801980724,8.49077178615548,-2.008186342129324,1.087701552681851,7.732849777378142e-06,0.02325371140297606
5.530528745241754,3.0581953062387046,8.491801103719888,-2.008701000911528,1.087701552681851,7.785877082504333e-06,0.023253764430281185
5.529750889545086,3.0538607309672905,8.493024256204636,-2.009312577153902,1.087701552681851,7.849509848657995e-06,0.02325382806304734
